20150303121725623 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:60149 connected
20150303122027715 |R-192.168.100.13:60149 |Access:36                  |I| Closed client /192.168.100.13:60149
20150303122034770 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:56391 connected
20150303122116653 |R-192.168.100.13:56391 |Access:36                  |I| Closed client /192.168.100.13:56391
20150303122119564 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:39098 connected
20150303122136618 |R-192.168.100.13:39098 |Access:36                  |I| Closed client /192.168.100.13:39098
20150303122241335 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:55584 connected
20150303122254143 |R-192.168.100.13:55584 |Access:36                  |I| Closed client /192.168.100.13:55584
20150303122256867 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:54037 connected
20150303122308879 |R-192.168.100.13:54037 |Access:36                  |I| Closed client /192.168.100.13:54037
20150303122451503 |R-192.168.100.12:54104 |Access:36                  |I| Closed client /192.168.100.12:54104
20150303122454404 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:54494 connected
20150303122619924 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:45290 connected
20150303122733037 |R-192.168.100.13:45290 |Access:36                  |I| Closed client /192.168.100.13:45290
20150303122735765 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:41698 connected
20150303122900142 |R-192.168.100.13:41698 |Access:36                  |I| Closed client /192.168.100.13:41698
20150303122907043 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:48505 connected
20150303123850703 |R-192.168.100.13:48505 |Access:36                  |I| Closed client /192.168.100.13:48505
20150303134428291 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:33597 connected
20150303134457483 |R-192.168.100.13:33597 |Access:36                  |I| Closed client /192.168.100.13:33597
20150303134500404 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:45015 connected
20150303134803099 |R-192.168.100.13:45015 |Access:36                  |I| Closed client /192.168.100.13:45015
20150303134810689 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:37617 connected
20150303134838012 |R-192.168.100.13:37617 |Access:36                  |I| Closed client /192.168.100.13:37617
20150303134840721 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:41929 connected
20150303135059258 |R-192.168.100.13:41929 |Access:36                  |I| Closed client /192.168.100.13:41929
20150303135108206 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:43441 connected
20150303140713705 |R-192.168.100.13:43441 |Access:36                  |I| Closed client /192.168.100.13:43441
20150303140721088 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:49712 connected
20150303140736949 |R-192.168.100.13:49712 |Access:36                  |I| Closed client /192.168.100.13:49712
20150303145933230 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:39193 connected
20150303150005367 |R-192.168.100.13:39193 |Access:36                  |I| Closed client /192.168.100.13:39193
20150303150125008 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:57025 connected
20150303151141378 |R-192.168.100.12:54494 |Access:36                  |I| Closed client /192.168.100.12:54494
20150303151430129 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:58220 connected
20150303151606365 |R-192.168.100.12:58220 |Access:36                  |I| Closed client /192.168.100.12:58220
20150303151802648 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:58356 connected
20150303151911708 |R-192.168.100.12:58356 |Access:36                  |I| Closed client /192.168.100.12:58356
20150303151912879 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:58385 connected
20150303151920643 |R-192.168.100.12:58385 |Access:36                  |I| Closed client /192.168.100.12:58385
20150303151924302 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:58394 connected
20150303151958971 |R-192.168.100.12:58394 |Access:36                  |I| Closed client /192.168.100.12:58394
20150303152002314 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:58417 connected
20150303152202925 |R-192.168.100.13:57025 |Access:36                  |I| Closed client /192.168.100.13:57025
20150303152210702 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:46997 connected
20150303153327232 |R-192.168.100.12:58417 |Access:36                  |I| Closed client /192.168.100.12:58417
20150303153510556 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:58897 connected
20150303153541110 |R-192.168.100.12:58897 |Access:36                  |I| Closed client /192.168.100.12:58897
20150303153647765 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:59079 connected
20150303160629369 |R-192.168.100.13:46997 |Access:41                  |I| Client /192.168.100.13:46997 disconnected
20150303160629422 |R-192.168.100.12:59079 |Access:41                  |I| Client /192.168.100.12:59079 disconnected
20150303161231780 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:59563 connected
20150303161316855 |R-192.168.100.12:59563 |Access:36                  |I| Closed client /192.168.100.12:59563
20150303161319759 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:59596 connected
20150303161555490 |R-192.168.100.12:59596 |Access:36                  |I| Closed client /192.168.100.12:59596
20150303161558437 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:59676 connected
20150303162815342 |R-192.168.100.12:59676 |Access:36                  |I| Closed client /192.168.100.12:59676
20150303162818319 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:59918 connected
20150303163007789 |R-192.168.100.12:59918 |Access:36                  |I| Closed client /192.168.100.12:59918
20150303163010499 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:59954 connected
20150303163915327 |R-192.168.100.12:59954 |Access:36                  |I| Closed client /192.168.100.12:59954
20150303163918167 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60114 connected
20150303164008516 |R-192.168.100.12:60114 |Access:36                  |I| Closed client /192.168.100.12:60114
20150303164011424 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60137 connected
20150303164054331 |R-192.168.100.12:60137 |Access:36                  |I| Closed client /192.168.100.12:60137
20150303164057200 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60158 connected
20150303164206689 |R-192.168.100.12:60158 |Access:36                  |I| Closed client /192.168.100.12:60158
20150303164209635 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60207 connected
20150303164315349 |R-192.168.100.12:60207 |Access:36                  |I| Closed client /192.168.100.12:60207
20150303164318308 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60233 connected
20150303164544293 |R-192.168.100.12:60233 |Access:36                  |I| Closed client /192.168.100.12:60233
20150303164547275 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60275 connected
20150303164635174 |R-192.168.100.12:60275 |Access:36                  |I| Closed client /192.168.100.12:60275
20150303164638160 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60297 connected
20150303164716973 |R-192.168.100.12:60297 |Access:36                  |I| Closed client /192.168.100.12:60297
20150303164719888 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60317 connected
20150303164849209 |R-192.168.100.12:60317 |Access:36                  |I| Closed client /192.168.100.12:60317
20150303164852173 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60348 connected
20150303170425579 |R-192.168.100.12:60348 |Access:36                  |I| Closed client /192.168.100.12:60348
20150303170428539 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60732 connected
20150303170808767 |R-192.168.100.12:60732 |Access:36                  |I| Closed client /192.168.100.12:60732
20150303170811714 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:60789 connected
20150303172032245 |R-192.168.100.12:60789 |Access:36                  |I| Closed client /192.168.100.12:60789
20150303172035142 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:61008 connected
20150303172243593 |R-192.168.100.12:61008 |Access:36                  |I| Closed client /192.168.100.12:61008
20150303172247484 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:61105 connected
20150303172428601 |R-192.168.100.12:61105 |Access:36                  |I| Closed client /192.168.100.12:61105
20150303172431530 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:61139 connected
20150303172521124 |R-192.168.100.12:61139 |Access:36                  |I| Closed client /192.168.100.12:61139
20150303172523984 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:61161 connected
20150303172953386 |R-192.168.100.12:61161 |Access:36                  |I| Closed client /192.168.100.12:61161
20150303172956404 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:61290 connected
